pf1,pf2,overlap_nuc,within_pareto,zscore_dist,seconds
PF00004,PF00009,169,1,-0.290267123950452,84.36474871635437
PF00004,PF00009,172,1,-0.387008199785714,84.82417917251587
PF00004,PF00009,175,1,-0.254666117223252,85.40470361709595
PF00004,PF00009,178,1,-0.5614627804156134,85.77644848823547
PF00004,PF00009,181,1,-0.1405893851747706,86.20190787315369
PF00004,PF00009,184,1,-0.25662840668297515,86.49103045463562
PF00004,PF00009,187,0,0.11692282743012372,86.68127202987671
PF00004,PF00009,190,1,-0.12117439444997535,86.25234150886536
PF00004,PF00009,193,0,0.021685906351568647,86.3777711391449
PF00004,PF00009,196,0,0.38282023980918,87.06690001487732
PF00004,PF00009,199,1,-0.18288942468394592,86.8638608455658
PF00004,PF00009,202,0,0.2235237862815777,86.74172115325928
PF00004,PF00009,205,0,0.07483997695065023,87.14534497261047
PF00004,PF00009,208,0,0.2901549693878326,87.11785912513733
PF00004,PF00009,211,0,0.07264020349085233,87.17095565795898
PF00004,PF00009,214,0,0.04327142286523993,87.32532501220703
PF00004,PF00009,217,0,0.1380639435327833,87.63578128814697
PF00004,PF00009,220,0,0.4794828003147814,87.64290308952332
PF00004,PF00009,223,0,0.2365059330819028,87.71614813804626
PF00004,PF00009,226,0,0.1580558421442637,88.18592691421509
PF00004,PF00009,229,0,0.5175910081733085,88.77549290657043
PF00004,PF00009,232,0,0.2419924848944371,88.85645246505737
PF00004,PF00009,235,0,0.07483176515009915,88.80470013618469
PF00004,PF00009,238,0,0.21578402594515805,89.45611190795898
PF00004,PF00009,241,0,0.2765042388696984,89.50021719932556
PF00004,PF00009,244,0,0.3361425192538354,89.5663013458252
PF00004,PF00009,247,0,0.41540632623792817,89.96299004554749
PF00004,PF00009,250,0,0.3573681401326602,90.2156023979187
PF00004,PF00009,253,0,0.3898792023399167,90.31772661209106
PF00004,PF00009,256,0,0.6993391192303351,90.18591928482056
PF00004,PF00009,259,0,0.7318616360636316,90.53992223739624
PF00004,PF00009,262,0,0.6093669013416424,91.04923462867737
PF00004,PF00009,265,0,0.17185297296297422,90.92777872085571
PF00004,PF00009,268,0,0.31304264965578577,91.51325845718384
PF00004,PF00009,271,0,0.5372136468051739,91.58219027519226
PF00004,PF00009,274,0,0.46216841022545346,91.871741771698
PF00004,PF00009,277,0,0.7299232413586707,91.80217409133911
PF00004,PF00009,280,0,0.688094880289803,92.0711944103241
PF00004,PF00009,283,0,0.6677027393832595,92.0822389125824
PF00004,PF00009,286,0,0.7980184036207946,92.94438171386719
PF00004,PF00009,289,0,0.9028317958512807,93.11161518096924
PF00004,PF00009,292,0,0.8512492830258949,93.60393142700195
PF00004,PF00009,295,0,0.7309646120829544,93.57754778862
PF00004,PF00009,298,0,0.8029267876075821,93.45468878746033
PF00004,PF00009,301,0,0.7332825495547636,92.30322742462158
PF00004,PF00009,304,0,0.9867301408007727,92.73433589935303
PF00004,PF00009,307,0,0.5253234611418947,92.10037779808044
PF00004,PF00009,310,0,0.9427954057046125,92.0306134223938
PF00004,PF00009,313,0,0.5791687468652104,91.84620356559753
PF00004,PF00009,316,0,0.814368696448761,92.58665990829468
PF00004,PF00009,319,0,0.8287104801343503,93.87579607963562
PF00004,PF00009,322,0,1.2482425238415031,93.85753846168518
PF00004,PF00009,14,1,-2.1255656693892875,54.09254193305969
PF00004,PF00009,17,1,-1.8883781088564917,42.72675013542175
PF00004,PF00009,20,1,-2.095585088953816,42.70059084892273
PF00004,PF00009,23,1,-1.7882356420602226,42.78820085525513
PF00004,PF00009,26,1,-2.2028026692136886,42.740070819854736
PF00004,PF00009,29,1,-1.8981787271675776,42.896820306777954
PF00004,PF00009,32,1,-1.7813434947505307,42.81522250175476
PF00004,PF00009,35,1,-1.7726931984660497,42.978286266326904
PF00004,PF00009,38,1,-1.6819071551440026,42.99805235862732
PF00004,PF00009,41,1,-1.7198224362966685,43.352179288864136
PF00004,PF00009,44,1,-1.635586126574846,43.383124589920044
PF00004,PF00009,47,1,-1.579301574171111,43.52006769180298
PF00004,PF00009,50,1,-1.5687027399627547,43.62766623497009
PF00004,PF00009,53,1,-1.3862648362250114,43.65724277496338
PF00004,PF00009,56,1,-1.4241738220025717,43.694671869277954
PF00004,PF00009,59,1,-1.329153254812838,43.65050268173218
PF00004,PF00009,62,1,-1.3794785839007975,43.85602688789368
PF00004,PF00009,65,1,-1.4160548397688435,44.07543468475342
PF00004,PF00009,68,1,-1.3808253918353852,43.90932583808899
PF00004,PF00009,71,1,-1.4303677577054852,44.20030355453491
PF00004,PF00009,74,1,-1.310657060045924,44.20456600189209
PF00004,PF00009,77,1,-1.4016269859990873,44.355409145355225
PF00004,PF00009,80,1,-1.3298538928715538,44.45820593833923
PF00004,PF00009,83,1,-1.093042237131446,44.567392349243164
PF00004,PF00009,86,1,-1.3419331458389316,44.50367593765259
PF00004,PF00009,89,1,-1.2475117523154582,44.41267275810242
PF00004,PF00009,92,1,-1.3242575827548408,44.752689599990845
PF00004,PF00009,95,1,-1.0117607149630157,45.014981269836426
PF00004,PF00009,98,1,-1.0525341230883258,44.93531346321106
PF00004,PF00009,101,1,-0.7502452724512617,44.91905379295349
PF00004,PF00009,104,1,-1.0232507284447456,45.090949296951294
PF00004,PF00009,107,1,-1.1514427688954587,45.027437925338745
PF00004,PF00009,110,1,-1.2769390109635046,45.124372482299805
PF00004,PF00009,113,1,-0.9451441740681705,44.99973392486572
PF00004,PF00009,116,1,-0.6079504342614593,45.29345989227295
PF00004,PF00009,119,1,-0.9388629785706453,45.4560706615448
PF00004,PF00009,122,1,-0.7431710991325506,45.270286560058594
PF00004,PF00009,125,1,-0.7604054914501122,45.5218346118927
